player_id,player_name,salary
1,Alex Abrines,3667645
2,Quincy Acy,213948
3,Steven Adams,24157304
4,Jaylen Adams,236854
5,Bam Adebayo,2955840
6,Deng Adel,77250
7,Alexis Ajinca,5285394
8,DeVaughn Akoon-Purcell,77250
9,Cole Aldrich,2000000
10,LaMarcus Aldridge,22347015
11,Rawle Alkins,77250
12,Grayson Allen,2076960
13,Jarrett Allen,2034120
14,Kadeem Allen,77250
15,Al-Farouq Aminu,6957105
16,Ryan Anderson,20421546
17,Kyle Anderson,8641000
18,Justin Anderson,2516047
19,Ike Anigbogu,1349383
20,Giannis Antetokounmpo,24157304
21,Kostas Antetokounmpo,77250
22,Carmelo Anthony,2393887
23,OG Anunoby,1952760
24,Ryan Arcidiacono,1349383
25,Trevor Ariza,15000000
26,Darrell Arthur,7464912
27,Omer Asik,11286516
28,DJ Augustin,7250000
29,Deandre Ayton,8175840
30,Dwayne Bacon,1378242
31,Marvin Bagley,7314960
32,Ron Baker,4697823
33,Wade Baldwin,1544951
34,Lonzo Ball,7461960
35,Mo Bamba,4871280
36,Harrison Barnes,24107258
37,Will Barton,11830358
38,Keita Bates-Diop,838464
39,Nicolas Batum,24000000
40,Jerryd Bayless,8575916
41,Aron Baynes,5193600
42,Kent Bazemore,18089888
43,Bradley Beal,25434262
44,Michael Beasley,3500000
45,Malik Beasley,1773840
46,Marco Belinelli,6153846
47,Jordan Bell,1378242
48,DeAndre Bembry,1634640
49,Dragan Bender,4661280
50,Davis Bertans,7000000
51,Dairis Bertans,194220
52,Patrick Beverley,5027028
53,Justin Bibbs,92159
54,Khem Birch,1378242
55,Jabari Bird,1349383
56,Bismack Biyombo,17000000
57,Nemanja Bjelica,6500000
58,Antonio Blakeney,1349383
59,Eric Bledsoe,15000000
60,Jaron Blossomgame,77250
61,Trevon Bluiett,77250
62,Bojan Bogdanovic,10500000
63,Bogdan Bogdanovic,9000000
64,Andrew Bogut,486892
65,Jonah Bolden,1690000
66,Isaac Bonga,1000000
67,Devin Booker,3314365
68,Chris Bosh,26837720
69,Chris Boucher,457418
